['OPAP.AT', 'MYTIL.AT', 'AEGN.AT', 'ALPHA.AT']
(-1.0, 0.0, 1.0, 1.0) 0.830438710877
(-1.0, 0.1, 0.9, 1.0) 0.791934834163
(-1.0, 0.1, 1.0, 0.9) 0.753582392984
(-1.0, 0.2, 0.8, 1.0) 0.75830270187
(-1.0, 0.2, 0.9, 0.9) 0.724118267586
(-1.0, 0.2, 1.0, 0.8) 0.72095231425
(-1.0, 0.3, 0.7, 1.0) 0.729395888177
(-1.0, 0.3, 0.8, 0.9) 0.69630112227
(-1.0, 0.3, 0.9, 0.8) 0.694743479981
(-1.0, 0.3, 1.0, 0.7) 0.708524079981
(-1.0, 0.4, 0.6, 1.0) 0.705570663308
(-1.0, 0.4, 0.7, 0.9) 0.670290181352
(-1.0, 0.4, 0.8, 0.8) 0.668719000803
(-1.0, 0.4, 0.9, 0.7) 0.683677132113
(-1.0, 0.4, 1.0, 0.6) 0.707428427772
(-1.0, 0.5, 0.5, 1.0) 0.687846714186
(-1.0, 0.5, 0.6, 0.9) 0.646503573087
(-1.0, 0.5, 0.7, 0.8) 0.643127196994
(-1.0, 0.5, 0.8, 0.7) 0.658148529131
(-1.0, 0.5, 0.9, 0.6) 0.683052700087
(-1.0, 0.5, 1.0, 0.5) 0.713164316695
(-1.0, 0.6, 0.4, 1.0) 0.678329257804
(-1.0, 0.6, 0.5, 0.9) 0.625633019835
(-1.0, 0.6, 0.6, 0.8) 0.618399302285
(-1.0, 0.6, 0.7, 0.7) 0.632260011294
(-1.0, 0.6, 0.8, 0.6) 0.657450502435
(-1.0, 0.6, 0.9, 0.5) 0.688781062527
(-1.0, 0.6, 1.0, 0.4) 0.723053154091
(-1.0, 0.7, 0.3, 1.0) 0.681576460401
(-1.0, 0.7, 0.4, 0.9) 0.608730639627
(-1.0, 0.7, 0.5, 0.8) 0.595113500567
(-1.0, 0.7, 0.6, 0.7) 0.606473620187
(-1.0, 0.7, 0.7, 0.6) 0.631010266997
(-1.0, 0.7, 0.8, 0.5) 0.662835081211
(-1.0, 0.7, 0.9, 0.4) 0.698404246976
(-1.0, 0.7, 1.0, 0.3) 0.735365674765
(-1.0, 0.8, 0.2, 1.0) 0.709751478822
(-1.0, 0.8, 0.3, 0.9) 0.597560154676
(-1.0, 0.8, 0.4, 0.8) 0.573993128811
(-1.0, 0.8, 0.5, 0.7) 0.581334835339
(-1.0, 0.8, 0.6, 0.6) 0.604228553247
(-1.0, 0.8, 0.7, 0.5) 0.635771120333
(-1.0, 0.8, 0.8, 0.4) 0.67200316558
(-1.0, 0.8, 0.9, 0.3) 0.710330029358
(-1.0, 0.8, 1.0, 0.2) 0.748943458916
(-1.0, 0.9, 0.1, 1.0) 0.811310488446
