,ABI.BR,AI.PA,AIR.PA,ALV,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DAI.DE,DBK.DE,DG.PA,DPW.DE,DTE.DE,EI.PA,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FP.PA,FRE.DE,G.MI,GLE.PA,IBE.MC,ISP.MI,ITX.MC,MC.PA,MUV2.DE,NOKIA.HE,OR.PA,PHIA.AS,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TEF.MC,UCG.MI,UL.AS,UNA.AS,VIV.PA,VOW3.DE
2012-09-04 16:00:00,56.512409,70.692337,26.938313,51.630871,54.695389,49.74139,52.93573,4.371197,44.483303,42.391075,27.351589,14.407897,8.26533,28.942907,21.25169,27.931576,13.072723,6.627378,64.334229,2.116175,12.506536,12.11162,11.945057,28.652243,24.893005,8.60006,16.58062,2.632685,1.025143,13.547444,111.428513,89.906227,1.981941,88.806107,14.332702,24.253298,3.654518,10.206056,47.699646,23.017349,59.153862,43.007603,7.333329,15.63578,122.150078,23.002327,10.933312,117.532799
2012-09-05 16:00:00,56.736259,71.610596,26.893393,51.533978000000005,55.014191,49.676704,53.48838,4.377689,44.210247,42.288734000000005,27.914318,14.280742,8.322381,28.904593,21.32452,27.586338,12.882365,6.641299,65.718956,2.12097,12.487256,11.957243,11.984077,28.510509,25.238489,8.540545,16.991943,2.609557,1.029224,13.810926,111.646477,90.135101,1.725312,89.469917,14.430765,24.429241,3.666057,10.257022,48.400841,23.034342,59.304291,42.758808,7.322819,15.664808,122.872887,23.03129,10.795942,119.073494
2012-09-06 16:00:00,57.988224,73.788673,27.405478,53.057968,55.860367,51.568996,55.716003,4.609233,45.960995,43.256725,29.440014,14.890205,8.586245,30.107676,22.830435,28.55706,13.225839,6.778443,68.17453,2.196091,12.390855,12.413359,12.211597,29.437233,25.691353,9.068749,18.309765,2.781825,1.090439,14.555696,115.352058,91.470154,1.675027,90.465614,14.92892,24.895479,3.834681,10.320729,49.111145,24.142946,60.594959,44.784126,7.712468,16.940388,124.812981,23.432665,10.817076,123.695587
2012-09-07 16:00:00,56.45435,73.249832,27.17639,54.863865000000004,53.849216,51.916721,55.452431,4.69579,46.603462,42.472099,29.939333,14.89459,8.789491,29.962078,24.029802,28.808882,12.745803,6.734584,66.808266,2.269614,12.493684,12.623872,12.383888,29.469944,25.566555,9.128265,19.5597,2.863174,1.106763,13.574858,115.831589,91.775307,1.782533,88.007751,15.289785,24.675558,3.900076,10.392931,48.983654,24.84379,61.267914,45.674568,7.852864,17.684498,124.242348,23.072672,11.024892,124.399887
2012-09-10 16:00:00,54.870758,72.786919,26.556498,54.599585999999995,53.793972,51.860119,54.763744,4.681365,47.005016,42.113898999999996,30.248438,14.784974,8.803753,29.709198,24.405313,28.999775,12.733388,6.711612,66.71595,2.261622,12.532242,12.532648,12.387115,29.400887,25.253033,9.158024,19.491814,2.800966,1.097785,13.555056,115.308434,92.118599,1.812011,86.850578,14.92892,24.43804,3.891099,10.384439,48.728672,24.703621,61.52129,44.740479,7.77915,17.752098,124.01413,22.679575,11.028416,125.016174
2012-09-11 16:00:00,55.177536,73.242294,26.655317,55.00481,53.518051,53.145908,55.664993,4.739071,47.687645,42.045673,30.918158,14.907744,8.932119,30.15748,25.405443,29.564342,12.708558,6.841793,67.952972,2.309572,12.692912,12.609838,12.598426,29.942392,25.615849,9.351449,19.695477,2.840046,1.108395,13.615978,111.428513,92.385605,1.883104,87.639969,14.905381,24.710745,3.959062,10.384439,48.901691,24.758839,62.075516,44.443668,7.884462,17.974388,122.416389,22.849228,11.144652,126.292732
2012-09-12 16:00:00,54.14114,73.469925,25.155003,55.489315000000005,52.947792,53.097385,55.903061,4.782349,48.635296,41.742912,30.846823,15.131359,9.110404,30.027212,25.286606,29.881142,12.729249,6.761734,67.131378,2.376701,12.773249,12.567736,12.689377,29.837002,25.403957,9.381207,19.751385,2.906242,1.114109,13.20476,109.20517,92.919632,1.917784,87.012039,14.721025,24.328077,4.009712,10.19756,49.53915,24.784325,62.028046,45.264271,8.021376,18.418962,123.67173,22.638195,11.144652,129.286102
2012-09-13 16:00:00,54.07481,72.961517,22.59009,55.61264,52.74543,52.563656,55.588467,4.696513,48.161469,41.661888,30.363359,14.741128,8.992736,29.854797,24.688904,28.80076,12.770633,6.753381,67.528328,2.36871,12.609365,12.595805,12.689377,29.720703,25.39525,9.254737,19.108446,2.8871,1.08799,13.279386,107.504974,93.491798,1.935124,87.595123,14.673957,24.178526,3.935981,10.24428,49.630211,24.159941,61.996353,43.815113,7.947664,17.858469,123.02504,22.596819,11.060117,127.9655
2012-09-14 16:00:00,53.908981,74.304718,22.733833,58.51968000000001,53.836941,53.881794,55.180359,4.818416,49.791748,41.802608,31.694876,15.271667,9.238771,30.743694,25.976406,29.743048,12.758218,6.743635,67.500641,2.421454,12.782888,13.12209,12.650427,30.411203,24.997513,9.485361,19.767359,3.017897,1.104314,13.629686,110.556602,94.826851,2.030493,87.460564,14.893615,24.583189,4.032795,10.320729,49.994476,25.778246,62.946541,45.98885,8.130169,18.148361,124.508629,22.534752,11.151696,134.260345
2012-09-17 16:00:00,53.933853,74.532433,23.088699,57.779709,53.67754,53.897972,55.750011,4.812645,49.542789,41.713062,31.857347,14.982282,9.23164,30.498478,26.10668,29.442486,12.745803,6.795846,67.075989,2.413463,12.856794,12.988766,12.500876,30.10593,25.049765,9.396088,19.99099,3.013112,1.096969,13.91297,108.638435,94.86499,1.976739,87.110718,14.815168,24.794315,4.000737,10.312236,49.994476,25.689047,62.740631,45.019836,8.074067,17.945456,124.546661,22.73337,10.943878,133.511993
