,ABI.BR,AI.PA,AIR.PA,ALV,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DAI.DE,DBK.DE,DG.PA,DPW.DE,DTE.DE,EI.PA,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FP.PA,FRE.DE,G.MI,GLE.PA,IBE.MC,ISP.MI,ITX.MC,MC.PA,MUV2.DE,NOKIA.HE,OR.PA,PHIA.AS,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TEF.MC,UCG.MI,UL.AS,UNA.AS,VIV.PA,VOW3.DE
2012-09-04 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-05 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-06 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-07 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-10 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-11 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-12 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-13 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-14 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-17 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-18 16:00:00,1.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,25.0,24.0,23.0,11.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,22.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,47.0,48.0
2012-09-19 16:00:00,3.0,25.0,1.0,43.0,2.0,36.0,22.0,31.0,41.0,9.0,44.0,33.0,32.0,30.0,48.0,29.0,6.0,19.0,18.0,45.0,13.0,35.0,21.0,28.0,7.0,26.0,46.0,47.0,11.0,23.0,5.0,20.0,40.0,4.0,17.0,16.0,34.0,15.0,24.0,39.0,27.0,8.0,38.0,37.0,12.0,10.0,14.0,42.0
2012-09-20 16:00:00,6.0,31.0,1.0,45.0,3.0,42.0,22.0,12.0,38.0,11.0,40.0,28.0,32.0,20.0,47.0,26.0,9.0,34.0,18.0,46.0,21.0,36.0,29.0,23.0,13.0,8.0,33.0,43.0,2.0,27.0,4.0,35.0,48.0,7.0,16.0,19.0,25.0,24.0,37.0,41.0,39.0,5.0,30.0,10.0,14.0,15.0,17.0,44.0
2012-09-21 16:00:00,10.0,35.0,1.0,28.0,6.0,46.0,37.0,22.0,34.0,19.0,43.0,29.0,25.0,33.0,45.0,14.0,24.0,39.0,30.0,42.0,18.0,36.0,17.0,23.0,12.0,7.0,9.0,44.0,3.0,48.0,2.0,40.0,32.0,11.0,8.0,21.0,31.0,15.0,41.0,38.0,27.0,4.0,26.0,5.0,13.0,20.0,16.0,47.0
2012-09-24 16:00:00,24.0,40.0,1.0,39.0,4.0,44.0,43.0,13.0,33.0,17.0,35.0,31.0,16.0,41.0,36.0,9.0,22.0,37.0,32.0,45.0,14.0,23.0,15.0,19.0,30.0,7.0,8.0,46.0,2.0,48.0,3.0,38.0,21.0,20.0,10.0,25.0,29.0,18.0,42.0,26.0,27.0,6.0,28.0,5.0,12.0,34.0,11.0,47.0
2012-09-25 16:00:00,34.0,41.0,1.0,19.0,8.0,43.0,44.0,16.0,15.0,35.0,33.0,40.0,18.0,24.0,14.0,7.0,36.0,17.0,25.0,39.0,2.0,21.0,12.0,13.0,31.0,3.0,10.0,47.0,5.0,48.0,9.0,42.0,11.0,27.0,22.5,30.0,26.0,20.0,45.0,37.0,32.0,6.0,22.5,4.0,29.0,38.0,28.0,46.0
2012-09-26 16:00:00,47.0,38.0,2.0,27.0,14.0,43.0,46.0,11.0,17.0,35.0,19.0,16.0,13.0,23.0,10.0,9.0,33.0,32.0,36.0,18.0,4.0,24.0,21.0,20.0,45.0,5.0,8.0,37.0,3.0,48.0,22.0,39.0,6.0,34.0,30.0,40.0,15.0,42.0,41.0,25.0,29.0,7.0,12.0,1.0,28.0,44.0,26.0,31.0
2012-09-27 16:00:00,45.0,41.0,26.0,25.0,20.0,44.0,47.0,10.0,12.0,35.0,27.0,22.0,7.0,21.0,16.0,14.0,29.0,32.0,36.0,11.0,2.0,18.0,13.0,19.0,46.0,5.0,8.0,33.0,3.0,48.0,17.0,30.0,4.0,34.0,39.0,43.0,15.0,37.0,40.0,38.0,28.0,9.0,6.0,1.0,23.0,42.0,31.0,24.0
2012-09-28 16:00:00,44.0,35.0,31.0,24.0,26.0,36.0,46.0,15.0,16.0,33.0,20.0,21.0,8.0,25.0,12.0,11.0,37.0,39.0,40.0,13.0,5.0,14.0,28.0,18.0,47.0,6.0,7.0,23.0,4.0,48.0,19.0,34.0,1.0,38.0,29.0,41.0,17.0,45.0,42.0,10.0,32.0,3.0,9.0,2.0,27.0,43.0,30.0,22.0
2012-10-01 16:00:00,45.0,39.0,29.0,28.0,23.0,42.0,46.0,4.0,10.0,35.0,21.0,24.0,8.0,22.0,11.0,13.0,38.0,31.0,40.0,16.0,1.0,15.0,26.0,20.0,47.0,9.0,5.0,19.0,7.0,48.0,27.0,33.0,6.0,43.0,30.0,34.0,17.0,44.0,36.0,14.0,32.0,12.0,3.0,2.0,25.0,41.0,37.0,18.0
2012-10-02 16:00:00,45.0,36.0,31.0,32.0,15.0,34.0,46.0,9.0,13.0,19.0,12.0,21.0,8.0,16.0,25.0,11.0,38.0,43.0,41.0,20.0,1.0,7.0,27.0,10.0,47.0,14.0,4.0,30.0,26.0,48.0,22.0,40.0,6.0,39.0,18.0,37.0,24.0,44.0,28.0,5.0,33.0,17.0,2.0,3.0,29.0,35.0,42.0,23.0
2012-10-03 16:00:00,46.0,26.0,39.0,25.0,42.0,35.0,47.0,10.0,13.0,15.0,17.0,12.0,9.0,11.0,19.0,8.0,40.0,30.0,29.0,22.0,1.0,5.0,24.0,7.0,48.0,20.0,6.0,36.0,28.0,45.0,14.0,43.0,3.0,37.0,23.0,44.0,21.0,41.0,27.0,4.0,33.0,31.0,2.0,16.0,32.0,34.0,38.0,18.0
