Did not find path to sp100. Looks like this file is missing
1 1 5 2 0 -1 -1 -42 10 7 nan 0.07604
2 1 5 2 0 -1 -1 -42 10 8 nan 0.07926
3 1 5 2 0 -1 -1 -42 10 9 nan 0.0916709167092
Did not find path to sp100. Looks like this file is missing
4 1 5 2 0 -1 -1 -42 30 5 nan -0.04347
5 1 5 2 0 -1 -1 -42 30 7 nan -0.01803
6 1 5 2 0 -1 -1 -42 30 8 nan 0.02168
7 1 5 2 0 -1 -1 -42 30 9 nan 0.0466
8 1 5 2 0 -1 -1 -42 90 5 -0.287863311728 -0.638216787729
9 1 5 2 0 -1 -1 -42 90 7 -0.330456403886 -0.640706787729
10 1 5 2 0 -1 -1 -42 90 8 -0.840087884241 -0.706656787729
11 1 5 2 0 -1 -1 -42 90 9 -1.13132389154 -0.747536787729
12 1 5 2 0 -1 -1 -42 300 5 -0.33494193437 -0.346743724763
13 1 5 2 0 -1 -1 -42 300 7 -0.881181876155 -0.41385439587
14 1 5 2 0 -1 -1 -42 300 8 -1.00668226221 -0.430164558972
15 1 5 2 0 -1 -1 -42 300 9 -0.854177625349 -0.40949435227
16 1 5 2 0 -1 0 -42 10 5 0.0766004740939 -0.598154376637
17 1 5 2 0 -1 0 -42 10 7 -0.44346500818 -0.691864376637
18 1 5 2 0 -1 0 -42 10 8 -0.410430162465 -0.688644376637
19 1 5 2 0 -1 0 -42 10 9 -0.265340775086 -0.676233459928
20 1 5 2 0 -1 0 -42 30 5 -1.41155987228 -0.808001260217
21 1 5 2 0 -1 0 -42 30 7 -1.19817596478 -0.782561260217
22 1 5 2 0 -1 0 -42 30 8 -0.893483279386 -0.742851260217
23 1 5 2 0 -1 0 -42 30 9 -0.691493872787 -0.717931260217
24 1 5 2 0 -1 0 -42 90 5 -0.287863311728 -0.638216787729
25 1 5 2 0 -1 0 -42 90 7 -0.330456403886 -0.640706787729
26 1 5 2 0 -1 0 -42 90 8 -0.840087884241 -0.706656787729
27 1 5 2 0 -1 0 -42 90 9 -1.13132389154 -0.747536787729
28 1 5 2 0 -1 0 -42 300 5 -0.33494193437 -0.346743724763
29 1 5 2 0 -1 0 -42 300 7 -0.881181876155 -0.41385439587
30 1 5 2 0 -1 0 -42 300 8 -1.00668226221 -0.430164558972
31 1 5 2 0 -1 0 -42 300 9 -0.854177625349 -0.40949435227
32 1 5 2 0 -1 1 -42 10 5 0.0766004740939 -0.598154376637
33 1 5 2 0 -1 1 -42 10 7 -0.44346500818 -0.691864376637
34 1 5 2 0 -1 1 -42 10 8 -0.410430162465 -0.688644376637
35 1 5 2 0 -1 1 -42 10 9 -0.265340775086 -0.676233459928
36 1 5 2 0 -1 1 -42 30 5 -1.41155987228 -0.808001260217
37 1 5 2 0 -1 1 -42 30 7 -1.19817596478 -0.782561260217
38 1 5 2 0 -1 1 -42 30 8 -0.893483279386 -0.742851260217
39 1 5 2 0 -1 1 -42 30 9 -0.691493872787 -0.717931260217
40 1 5 2 0 -1 1 -42 90 5 -0.287863311728 -0.638216787729
41 1 5 2 0 -1 1 -42 90 7 -0.330456403886 -0.640706787729
42 1 5 2 0 -1 1 -42 90 8 -0.840087884241 -0.706656787729
43 1 5 2 0 -1 1 -42 90 9 -1.13132389154 -0.747536787729
44 1 5 2 0 -1 1 -42 300 5 -0.33494193437 -0.346743724763
45 1 5 2 0 -1 1 -42 300 7 -0.881181876155 -0.41385439587
46 1 5 2 0 -1 1 -42 300 8 -1.00668226221 -0.430164558972
47 1 5 2 0 -1 1 -42 300 9 -0.854177625349 -0.40949435227
48 1 5 2 0 1 -1 -42 10 5 -2.16711461495 -0.937656074154
49 1 5 2 0 1 -1 -42 10 7 -1.65067558789 -0.843945137044
50 1 5 2 0 1 -1 -42 10 8 -1.67600930582 -0.847165169245
51 1 5 2 0 1 -1 -42 10 9 -1.81127466789 -0.859574376637
52 1 5 2 0 1 -1 -42 30 5 -0.724289630997 -0.721060825513
53 1 5 2 0 1 -1 -42 30 7 -0.928238043754 -0.746501079915
54 1 5 2 0 1 -1 -42 30 8 -1.23090283482 -0.786211477019
