['DWNI.DE', 'LHA.DE', 'DPW.DE', 'BX4.PA']
(-1.0, 0.0, 1.0, 1.0) 0.538592345498
(-1.0, 0.1, 0.9, 1.0) -0.668070955596
(-1.0, 0.1, 1.0, 0.9) -0.388290452322
(-1.0, 0.2, 0.8, 1.0) -0.238593411579
(-1.0, 0.2, 0.9, 0.9) 0.520677956087
(-1.0, 0.2, 1.0, 0.8) -0.865190896724
(-1.0, 0.3, 0.7, 1.0) 0.00437554790428
(-1.0, 0.3, 0.8, 0.9) 0.852547603157
(-1.0, 0.3, 0.9, 0.8) -0.293469202454
(-1.0, 0.3, 1.0, 0.7) 0.965244349178
(-1.0, 0.4, 0.6, 1.0) 0.221296651783
(-1.0, 0.4, 0.7, 0.9) -0.149803853549
(-1.0, 0.4, 0.8, 0.8) -0.221519374655
(-1.0, 0.4, 0.9, 0.7) 0.854473142769
(-1.0, 0.4, 1.0, 0.6) 0.606586866686
(-1.0, 0.5, 0.5, 1.0) -0.412226750411
(-1.0, 0.5, 0.6, 0.9) 0.348375676603
(-1.0, 0.5, 0.7, 0.8) -0.456380174261
(-1.0, 0.5, 0.8, 0.7) 0.637129649601
(-1.0, 0.5, 0.9, 0.6) -0.444654211464
(-1.0, 0.5, 1.0, 0.5) 0.487246017751
(-1.0, 0.6, 0.4, 1.0) -0.645195634696
(-1.0, 0.6, 0.5, 0.9) -0.271819621233
(-1.0, 0.6, 0.6, 0.8) -0.0665964097861
(-1.0, 0.6, 0.7, 0.7) 0.43548425149
(-1.0, 0.6, 0.8, 0.6) -0.159038380713
(-1.0, 0.6, 0.9, 0.5) 0.732786949231
(-1.0, 0.6, 1.0, 0.4) 0.444994876399
(-1.0, 0.7, 0.3, 1.0) -0.0982476076274
(-1.0, 0.7, 0.4, 0.9) -0.00274531333456
(-1.0, 0.7, 0.5, 0.8) 0.286052722479
(-1.0, 0.7, 0.6, 0.7) -0.0180256023329
(-1.0, 0.7, 0.7, 0.6) 0.366568662678
(-1.0, 0.7, 0.8, 0.5) 0.469643124802
(-1.0, 0.7, 0.9, 0.4) 0.610301559446
(-1.0, 0.7, 1.0, 0.3) 0.442996141233
(-1.0, 0.8, 0.2, 1.0) 0.544460651028
(-1.0, 0.8, 0.3, 0.9) -0.624547143971
(-1.0, 0.8, 0.4, 0.8) 0.43315292085
(-1.0, 0.8, 0.5, 0.7) 0.797272846573
(-1.0, 0.8, 0.6, 0.6) -0.265427869472
(-1.0, 0.8, 0.7, 0.5) -0.254095425855
(-1.0, 0.8, 0.8, 0.4) 0.286091184498
(-1.0, 0.8, 0.9, 0.3) 0.575389542268
(-1.0, 0.8, 1.0, 0.2) 0.468590020671
(-1.0, 0.9, 0.1, 1.0) -0.230646970835
(-1.0, 0.9, 0.2, 0.9) -0.01406355707
(-1.0, 0.9, 0.3, 0.8) 0.737336768984
(-1.0, 0.9, 0.4, 0.7) -0.407922608626
(-1.0, 0.9, 0.5, 0.6) 0.0143063928178
(-1.0, 0.9, 0.6, 0.5) 0.552470422416
(-1.0, 0.9, 0.7, 0.4) -0.482302370076
(-1.0, 0.9, 0.8, 0.3) 0.076789186986
(-1.0, 0.9, 0.9, 0.2) 0.584175578505
(-1.0, 0.9, 1.0, 0.1) 0.517760527028
(-1.0, 1.0, 0.0, 1.0) 0.672052359654
(-1.0, 1.0, 0.1, 0.9) -0.17995058928
(-1.0, 1.0, 0.2, 0.8) -0.215759094952
(-1.0, 1.0, 0.3, 0.7) 0.443774911103
(-1.0, 1.0, 0.4, 0.6) -0.00700168274262
(-1.0, 1.0, 0.5, 0.5) -0.187281535298
(-1.0, 1.0, 0.6, 0.4) 0.466411200291
(-1.0, 1.0, 0.7, 0.3) 0.266679359929
(-1.0, 1.0, 0.8, 0.2) 0.0489004995937
(-1.0, 1.0, 0.9, 0.1) 0.627210508357
(-1.0, 1.0, 1.0, 0.0) 0.59244141761
(-0.9, -0.1, 1.0, 1.0) -0.0773384815953
(-0.9, 0.0, 0.9, 1.0) -0.466649417765
(-0.9, 0.0, 1.0, 0.9) 0.647663635001
(-0.9, 0.1, 0.8, 1.0) -0.346770430974
(-0.9, 0.1, 0.9, 0.9) 0.19326589357
(-0.9, 0.1, 1.0, 0.8) 0.389744931354
(-0.9, 0.2, 0.7, 1.0) -0.342963975014
(-0.9, 0.2, 0.8, 0.9) 0.408727321978
(-0.9, 0.2, 0.9, 0.8) 0.472800228501
(-0.9, 0.2, 1.0, 0.7) 0.288470173521
(-0.9, 0.3, 0.6, 1.0) -0.251276375684
(-0.9, 0.3, 0.7, 0.9) -0.0359058763249
(-0.9, 0.3, 0.8, 0.8) 0.799414003427
(-0.9, 0.3, 0.9, 0.7) 0.313935484968
(-0.9, 0.3, 1.0, 0.6) 0.244271343173
(-0.9, 0.4, 0.5, 1.0) -0.470855169128
(-0.9, 0.4, 0.6, 0.9) -0.642770743405
(-0.9, 0.4, 0.7, 0.8) -0.285112317689
(-0.9, 0.4, 0.8, 0.7) 0.41579807765
(-0.9, 0.4, 0.9, 0.6) 0.249346205817
(-0.9, 0.4, 1.0, 0.5) 0.231151562096
(-0.9, 0.5, 0.4, 1.0) 0.459468912137
(-0.9, 0.5, 0.5, 0.9) 0.411827751183
(-0.9, 0.5, 0.6, 0.8) -0.317564613456
(-0.9, 0.5, 0.7, 0.7) 0.804516555435
(-0.9, 0.5, 0.8, 0.6) 0.297304154645
(-0.9, 0.5, 0.9, 0.5) 0.227798376569
(-0.9, 0.5, 1.0, 0.4) 0.239575768915
(-0.9, 0.6, 0.3, 1.0) 0.205846671527
(-0.9, 0.6, 0.4, 0.9) 0.412088814897
(-0.9, 0.6, 0.5, 0.8) -0.160261760394
(-0.9, 0.6, 0.6, 0.7) 0.400523592946
(-0.9, 0.6, 0.7, 0.6) 0.476288597094
